"Date","Team 1","Team 2","Time","Shooting Team","Result","Type","xG","xGOT","Shooter","Passer","T1LW","T1C","T1RW","T1LD","T1RD","T1G","T1X","T2LW","T2C","T2RW","T2LD","T2RD","T2G","T2X","PP","SH","Distance","Angle","Player Team 1","Player Team 2"
"2025-09-14","Kloten-Dietlikon Jets","Floorball Uri","2737","Kloten-Dietlikon Jets","Goal","Turnover | Direct","0.19","0.35","#54 Caviezel","#8 Burri","#54 Caviezel","#23 Rieder","#8 Burri","#20 Schumacher","#59 Behringer","#77 Lemke","","","","","","","","","1","0","7.65","82.21","0","0"
"2025-09-14","Kloten-Dietlikon Jets","Floorball Uri","2768","Floorball Uri","Blocked","Direct","0.07","0.00","","","#18 Lüscher","#26 Laurino","#13 Krebs","#22 Kissling","#12 Foelix","#77 Lemke","","Select LW...","Select C...","Select RW...","Select LD...","Select RD...","Select a goalie...","","0","0","13.63","78.56","0","0"
"2025-09-14","Kloten-Dietlikon Jets","Floorball Uri","2782","Kloten-Dietlikon Jets","Missed","Direct","0.09","0.00","#12 Foelix","#88 Hüppi","#88 Hüppi","#23 Rieder","#8 Burri","#26 Laurino","#12 Foelix","#77 Lemke","","","","","","","","","1","0","13.78","86.34","0","0"
"2025-09-14","Kloten-Dietlikon Jets","Floorball Uri","2807","Kloten-Dietlikon Jets","Goal","One-timer","0.18","0.32","#8 Burri","#12 Foelix","#88 Hüppi","#23 Rieder","#8 Burri","#26 Laurino","#12 Foelix","#77 Lemke","","","","","","","","","1","0","7.97","39.47","0","0"
"2025-09-14","Kloten-Dietlikon Jets","Floorball Uri","2950","Floorball Uri","Saved","Direct","0.14","0.25","","","#18 Lüscher","#17 Fontana","#13 Krebs","#22 Kissling","#12 Foelix","#77 Lemke","","Select LW...","Select C...","Select RW...","Select LD...","Select RD...","Select a goalie...","","0","0","4.50","121.80","0","0"
"2025-09-14","Kloten-Dietlikon Jets","Floorball Uri","2960","Floorball Uri","Missed","Rebound","0.19","0.00","","","#18 Lüscher","#17 Fontana","#13 Krebs","#22 Kissling","#12 Foelix","#77 Lemke","","Select LW...","Select C...","Select RW...","Select LD...","Select RD...","Select a goalie...","","0","0","2.96","86.91","0","0"
"2025-09-14","Kloten-Dietlikon Jets","Floorball Uri","2974","Kloten-Dietlikon Jets","Blocked","Direct","0.12","0.00","#21 Germann","#88 Hüppi","#88 Hüppi","#20 Schumacher","#23 Rieder","#21 Germann","#97 Schellenberg","#77 Lemke","","Select LW...","Select C...","Select RW...","Select LD...","Select RD...","Select a goalie...","","0","0","9.26","97.92","0","0"
"2025-09-14","Kloten-Dietlikon Jets","Floorball Uri","3015","Kloten-Dietlikon Jets","Missed","Turnover | Direct","0.13","0.00","#54 Caviezel","#59 Behringer","#17 Fontana","#16 Kauppinen","#48 Bratschi","#54 Caviezel","#59 Behringer","#77 Lemke","","Select LW...","Select C...","Select RW...","Select LD...","Select RD...","Select a goalie...","","0","0","11.77","72.05","0","0"
"2025-09-14","Kloten-Dietlikon Jets","Floorball Uri","3037","Kloten-Dietlikon Jets","Saved","Turnover | Direct","0.17","0.30","#48 Bratschi","#16 Kauppinen","#17 Fontana","#16 Kauppinen","#48 Bratschi","#54 Caviezel","#59 Behringer","#77 Lemke","","Select LW...","Select C...","Select RW...","Select LD...","Select RD...","Select a goalie...","","0","0","6.14","132.55","0","0"
"2025-09-14","Kloten-Dietlikon Jets","Floorball Uri","3063","Kloten-Dietlikon Jets","Missed","One-timer","0.24","0.00","#16 Kauppinen","#17 Fontana","#17 Fontana","#16 Kauppinen","#48 Bratschi","#54 Caviezel","#59 Behringer","#77 Lemke","","Select LW...","Select C...","Select RW...","Select LD...","Select RD...","Select a goalie...","","0","0","10.63","113.36","0","0"
"2025-09-14","Kloten-Dietlikon Jets","Floorball Uri","3092","Floorball Uri","Missed","Turnover | Direct","0.20","0.00","","","#18 Lüscher","#17 Fontana","#13 Krebs","#22 Kissling","#12 Foelix","#77 Lemke","","Select LW...","Select C...","Select RW...","Select LD...","Select RD...","Select a goalie...","","0","0","6.34","95.06","0","0"
"2025-09-14","Kloten-Dietlikon Jets","Floorball Uri","3113","Floorball Uri","Saved","Turnover | One-timer","0.34","0.64","","","#18 Lüscher","#17 Fontana","#13 Krebs","#22 Kissling","#12 Foelix","#77 Lemke","","Select LW...","Select C...","Select RW...","Select LD...","Select RD...","Select a goalie...","","0","0","3.70","141.34","0","0"
"2025-09-14","Kloten-Dietlikon Jets","Floorball Uri","3117","Floorball Uri","Saved","Rebound","0.19","0.35","","","#18 Lüscher","#17 Fontana","#13 Krebs","#22 Kissling","#12 Foelix","#77 Lemke","","Select LW...","Select C...","Select RW...","Select LD...","Select RD...","Select a goalie...","","0","0","3.60","139.90","0","0"
"2025-09-14","Kloten-Dietlikon Jets","Floorball Uri","3127","Kloten-Dietlikon Jets","Missed","Turnover | One-timer","0.24","0.00","#13 Krebs","#12 Foelix","#18 Lüscher","#17 Fontana","#13 Krebs","#22 Kissling","#12 Foelix","#77 Lemke","","Select LW...","Select C...","Select RW...","Select LD...","Select RD...","Select a goalie...","","0","0","8.05","49.51","0","0"
"2025-09-14","Kloten-Dietlikon Jets","Floorball Uri","3160","Kloten-Dietlikon Jets","Goal","Turnover | One-timer","0.24","0.46","#71 Leahey","#97 Schellenberg","#71 Leahey","#20 Schumacher","#23 Rieder","#21 Germann","#97 Schellenberg","#77 Lemke","","Select LW...","Select C...","Select RW...","Select LD...","Select RD...","Select a goalie...","","0","0","3.44","39.04","0","0"
"2025-09-14","Kloten-Dietlikon Jets","Floorball Uri","3168","Floorball Uri","Saved","Turnover | Direct","0.23","0.43","","","#17 Fontana","#16 Kauppinen","#8 Burri","#54 Caviezel","#59 Behringer","#77 Lemke","","Select LW...","Select C...","Select RW...","Select LD...","Select RD...","Select a goalie...","","0","0","3.16","122.15","0","0"
"2025-09-14","Kloten-Dietlikon Jets","Floorball Uri","3322","Floorball Uri","Saved","One-timer","0.16","0.30","","","#88 Hüppi","#20 Schumacher","#23 Rieder","#21 Germann","#97 Schellenberg","#77 Lemke","","Select LW...","Select C...","Select RW...","Select LD...","Select RD...","Select a goalie...","","0","0","13.72","117.86","0","0"
"2025-09-14","Kloten-Dietlikon Jets","Floorball Uri","3339","Kloten-Dietlikon Jets","Saved","Turnover | Direct","0.19","0.35","#20 Schumacher","#21 Germann","#88 Hüppi","#20 Schumacher","#23 Rieder","#21 Germann","#97 Schellenberg","#77 Lemke","","Select LW...","Select C...","Select RW...","Select LD...","Select RD...","Select a goalie...","","0","0","6.26","114.97","0","0"
"2025-09-14","Kloten-Dietlikon Jets","Floorball Uri","3363","Kloten-Dietlikon Jets","Saved","Turnover | One-timer","0.36","0.66","#17 Fontana","#8 Burri","#17 Fontana","#16 Kauppinen","#8 Burri","#54 Caviezel","#59 Behringer","#77 Lemke","","Select LW...","Select C...","Select RW...","Select LD...","Select RD...","Select a goalie...","","0","0","4.93","99.31","0","0"
"2025-09-14","Kloten-Dietlikon Jets","Floorball Uri","3386","Floorball Uri","Saved","Direct","0.10","0.20","","","#17 Fontana","#16 Kauppinen","#8 Burri","#54 Caviezel","#59 Behringer","#77 Lemke","","Select LW...","Select C...","Select RW...","Select LD...","Select RD...","Select a goalie...","","0","0","2.62","23.20","0","0"
"2025-09-14","Kloten-Dietlikon Jets","Floorball Uri","3451","Kloten-Dietlikon Jets","Saved","Direct","0.10","0.19","#5 Nussbaumer","#22 Kissling","#12 Foelix","#5 Nussbaumer","#13 Krebs","#22 Kissling","#26 Laurino","#77 Lemke","","Select LW...","Select C...","Select RW...","Select LD...","Select RD...","Select a goalie...","","0","0","6.61","145.97","0","0"
"2025-09-14","Kloten-Dietlikon Jets","Floorball Uri","3476","Floorball Uri","Saved","Turnover | Direct","0.14","0.28","","","#88 Hüppi","#20 Schumacher","#71 Leahey","#21 Germann","#97 Schellenberg","#77 Lemke","","Select LW...","Select C...","Select RW...","Select LD...","Select RD...","Select a goalie...","","0","0","8.14","47.59","0","0"
"2025-09-14","Kloten-Dietlikon Jets","Floorball Uri","3488","Floorball Uri","Missed","Turnover | Direct","0.10","0.00","","","#88 Hüppi","#20 Schumacher","#71 Leahey","#21 Germann","#97 Schellenberg","#77 Lemke","","Select LW...","Select C...","Select RW...","Select LD...","Select RD...","Select a goalie...","","0","0","14.38","107.24","0","0"
"2025-09-14","Kloten-Dietlikon Jets","Floorball Uri","3528","Floorball Uri","Goal","One-timer","0.22","0.40","","","","","","","","","","Select LW...","Select C...","Select RW...","Select LD...","Select RD...","Select a goalie...","","1","0","4.25","16.70","0","0"
"2025-09-14","Kloten-Dietlikon Jets","Floorball Uri","3555","Floorball Uri","Saved","Direct","0.12","0.22","","","#17 Fontana","#16 Kauppinen","#8 Burri","#54 Caviezel","#59 Behringer","#77 Lemke","","Select LW...","Select C...","Select RW...","Select LD...","Select RD...","Select a goalie...","","0","0","9.74","82.47","0","0"
"2025-09-14","Kloten-Dietlikon Jets","Floorball Uri","3562","Kloten-Dietlikon Jets","Goal","Turnover | One-timer","0.28","0.52","#8 Burri","#48 Bratschi","#17 Fontana","#48 Bratschi","#8 Burri","#54 Caviezel","#59 Behringer","#77 Lemke","","Select LW...","Select C...","Select RW...","Select LD...","Select RD...","Select a goalie...","","0","0","4.53","39.81","0","0"
"2025-09-14","Kloten-Dietlikon Jets","Floorball Uri","3578","Kloten-Dietlikon Jets","Goal","Turnover | One-timer","0.34","0.64","#13 Krebs","#22 Kissling","#12 Foelix","#5 Nussbaumer","#13 Krebs","#22 Kissling","#26 Laurino","#77 Lemke","","Select LW...","Select C...","Select RW...","Select LD...","Select RD...","Select a goalie...","","0","0","4.37","59.38","0","0"
"2025-09-14","Kloten-Dietlikon Jets","Floorball Uri","3590","Floorball Uri","Saved","Direct","0.06","0.11","","","#12 Foelix","#5 Nussbaumer","#13 Krebs","#22 Kissling","#26 Laurino","#77 Lemke","","Select LW...","Select C...","Select RW...","Select LD...","Select RD...","Select a goalie...","","0","0","8.84","30.03","0","0"
"2025-09-14","Kloten-Dietlikon Jets","Floorball Uri","3597","Kloten-Dietlikon Jets","Goal","Turnover | One-timer","0.34","0.64","#13 Krebs","#5 Nussbaumer","#12 Foelix","#5 Nussbaumer","#13 Krebs","#22 Kissling","#26 Laurino","#77 Lemke","","Select LW...","Select C...","Select RW...","Select LD...","Select RD...","Select a goalie...","","0","0","3.00","43.03","0","0"
